departamento,provincia,distrito,id,costo_despacho_sin_recojo,costo_despacho_con_recojo,dias_despacho
Amazonas,Chachapoyas,Chachapoyas,1,15,16,4
Amazonas,Chachapoyas,Asunción,2,18,19,5
Amazonas,Chachapoyas,Balsas,3,21,19,5
Amazonas,Chachapoyas,Cheto,4,21,19,6
Amazonas,Chachapoyas,Chiliquin,5,21,19,6
Amazonas,Chachapoyas,Chuquibamba,6,21,19,7
Amazonas,Chachapoyas,Granada,7,22,19,7
Amazonas,Chachapoyas,Huancas,8,22,19,8
Amazonas,Chachapoyas,La Jalca,9,22,19,8
Amazonas,Chachapoyas,Leimebamba,10,22,19,9
Amazonas,Chachapoyas,Levanto,11,22,19,9
Amazonas,Chachapoyas,Magdalena,12,22,19,4
Amazonas,Chachapoyas,Mariscal Castilla,13,22,19,4
Amazonas,Chachapoyas,Molinopampa,14,24,19,4
Amazonas,Chachapoyas,Montevideo,15,24,19,4
Amazonas,Chachapoyas,Olleros,16,24,19,4
Amazonas,Chachapoyas,Quinjalca,17,24,19,5
Amazonas,Chachapoyas,San Francisco de Daguas,18,24,19,5
Amazonas,Chachapoyas,San Isidro de Maino,19,24,19,5
Amazonas,Chachapoyas,Soloco,20,24,19,5
Amazonas,Chachapoyas,Sonche,21,24,19,5
Amazonas,Bagua,Bagua,22,24,19,5
Amazonas,Bagua,Aramango,23,24,19,5
Amazonas,Bagua,Copallin,24,24,19,5
Amazonas,Bagua,El Parco,25,24,19,5
Amazonas,Bagua,Imaza,26,24,19,5
Amazonas,Bagua,La Peca,27,25,19,5
Amazonas,Bongará,Jumbilla,28,25,19,5
Amazonas,Bongará,Chisquilla,29,25,19,5
Amazonas,Bongará,Churuja,30,25,19,5
Amazonas,Bongará,Corosha,31,25,19,5
Amazonas,Bongará,Cuispes,32,25,19,5
Amazonas,Bongará,Florida,33,25,19,3
Amazonas,Bongará,Jazan,34,25,19,3
Amazonas,Bongará,Recta,35,25,19,3
Amazonas,Bongará,San Carlos,36,25,19,3
Amazonas,Bongará,Shipasbamba,37,25,19,3
Amazonas,Bongará,Valera,38,25,19,3
Amazonas,Bongará,Yambrasbamba,39,25,19,3
Amazonas,Condorcanqui,Nieva,40,25,19,3
Amazonas,Condorcanqui,El Cenepa,41,25,19,3
